"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,68373839,68271434,2035319,40503519,0,622782,631774,18272,499760452305,0.0794628941915251
0,68366139,68247235,2053720,41184319,0,629984,635878,19071,499752752305,0.0803430559756109
0,68339939,68239436,2070422,41452619,0,636186,644082,19469,499742352305,0.0812942620800376
0,68313839,68251636,2070325,42038419,0,642291,652290,19866,499732752305,0.0822515319143313
0,68286341,68238436,2088333,42221419,0,649299,665494,20158,499727352305,0.0832815568410164
0,68259042,68248336,2087137,42605119,0,657099,675602,20554,499721852305,0.0842639558012649
0,68222342,68255036,2105840,42995819,0,664104,679504,21351,499710152305,0.0853400513292688
0,68212143,68196136,2155546,43155519,0,674207,688609,21845,499696952305,0.0865337522475025
0,68206144,68164136,2173149,43295119,0,680516,700914,22242,499688652305,0.0876115388722928
0,68197145,68154536,2170851,43584619,0,689323,710119,22840,499683052305,0.0888250458482561
0,68161746,68165736,2179458,43764219,0,694426,719424,23433,499675552305,0.0898353002831848
0,68143746,68147236,2198861,44033519,0,702630,727426,24430,499666052305,0.0908796701045797
0,68124546,68098137,2248567,44312819,0,711436,736331,24924,499654552305,0.0920465652160595
0,68103946,68084437,2266274,44882119,0,721438,741237,25317,499645952305,0.0930605639763197
0,68087647,68060837,2295775,45651819,0,728141,743943,26516,499637052305,0.0942238076940429
0,68026347,68075837,2325478,45841319,0,739046,749049,26913,499631552305,0.0950405490706016
0,68019447,68026937,2364282,46320919,0,745953,757454,27509,499621752305,0.0960947923787291
0,68003748,68007538,2379186,46990719,0,751956,766561,27805,499611852305,0.0971248823331319
0,67964548,67999138,2408089,47470219,0,760663,774167,28502,499598152305,0.0981212218005018
0,67958048,67969739,2426694,47869619,0,766872,784476,28897,499592552305,0.0991230108044415
0,67920248,67983539,2435196,48649119,0,774477,790680,29595,499577752305,0.0999975151662862
0,67899648,67977239,2443099,49298619,0,784581,797086,29892,499566952305,0.100833743631069
0,67882549,67976439,2442906,49638219,0,791688,808292,30285,499561152305,0.101745666040617
0,67865849,67945039,2471510,49827819,0,797691,819698,31081,499549752305,0.102711899732167
0,67854451,67929539,2479513,50197419,0,808799,825803,31378,499538252305,0.103513419245989
0,67829252,67923339,2497418,51056719,0,813804,831707,31673,499528252305,0.104508686300501
0,67810652,67908839,2514726,51516219,0,823209,836508,32465,499519552305,0.105483265831157
0,67802652,67862740,2553634,51865819,0,831411,843018,32857,499510852305,0.106399409014788
0,67784352,67845940,2571336,52715319,0,839615,850125,33155,499496952305,0.107317090917675
0,67763853,67851641,2579740,53085019,0,840418,855331,33751,499483352305,0.10836953899891
0,67740753,67857642,2579548,53244219,0,853121,859336,34443,499474852305,0.109106278098136
0,67692953,67862742,2606253,53713719,0,859824,864340,35038,499469152305,0.110152892236112
0,67686854,67811542,2644959,54053019,0,865728,875144,35732,499461752305,0.111111354484265
0,67640755,67826342,2662764,54192519,0,872231,880248,36327,499456452305,0.111978399478256
0,67605056,67837843,2669669,54682019,0,877234,887951,36622,499439652305,0.112961536343882
0,67568258,67832143,2699375,54861919,0,884139,893857,37116,499425252305,0.113947377638719
0,67551558,67813443,2718279,55131519,0,891547,902161,37312,499409652305,0.114987480364787
0,67527258,67820143,2727085,56110819,0,895852,905864,38006,499394552305,0.115961213058655
0,67499058,67820343,2735894,56170119,0,903760,916071,38497,499381052305,0.116969115036812
0,67484259,67814343,2745596,56729419,0,908866,922076,39295,499365152305,0.117696276423728
0,67457159,67796543,2770904,57118919,0,915669,929886,40487,499354552305,0.118499690273823
0,67435560,67750143,2818709,57678419,0,927573,935790,40882,499346952305,0.11943462704444
0,67411960,67753143,2826514,58267719,0,931277,942995,41377,499337352305,0.12025206282287
0,67406560,67714244,2853017,58747019,0,936582,952101,42174,499333252305,0.121037357596425
0,67403861,67677345,2881721,59126419,0,939385,960107,42970,499324452305,0.121790971417957
0,67387661,67657845,2900527,59495919,0,945487,969613,43664,499313952305,0.122637919304521
0,67366861,67629446,2929130,59685419,0,956492,978126,44461,499308552305,0.123379525005905
0,67350461,67623246,2938636,59934519,0,962797,985530,45055,499301152305,0.124145536550916
0,67334662,67605946,2958247,60514019,0,968905,992334,46144,499289352305,0.124976191340687
0,67319462,67572346,2996153,60783719,0,973609,996338,46738,499274452305,0.125969966481674
0,67300562,67527046,3044654,61443219,0,981915,1001545,47437,499267652305,0.126807487724391
0,67285565,67509547,3062159,61612919,0,986722,1009354,48332,499256952305,0.127725860415353
0,67278765,67472448,3090868,61872319,0,993928,1015959,49323,499247552305,0.128539138047938
0,67260466,67468849,3100875,62311019,0,1002332,1019663,49616,499240852305,0.129343156927118
0,67254966,67454449,3109583,62450319,0,1008134,1023568,50408,499231552305,0.130146153508954
0,67250766,67450449,3109393,62840019,0,1012442,1027674,50798,499217752305,0.130768594801767
0,67226566,67444549,3129200,62989419,0,1016348,1033779,51491,499205852305,0.131582469089881
0,67211266,67415351,3157005,63639119,0,1021556,1043181,51986,499198052305,0.132300078567934
0,67207766,67398152,3165816,63918619,0,1024661,1050287,52475,499183452305,0.133071623907031
0,67200666,67372653,3184520,64108219,0,1032066,1056495,53271,499172752305,0.133996596026539
0,67166267,67387753,3192225,64577519,0,1037469,1061899,53966,499162652305,0.134924780430593
0,67143068,67391753,3200832,64666019,0,1040376,1068007,54759,499147352305,0.135725138477266
0,67125368,67361954,3227441,64845219,0,1047382,1077810,55350,499138052305,0.136545401736992
0,67100168,67361455,3235948,65234419,0,1052789,1088112,55943,499131252305,0.137350405338129
0,67095369,67353855,3232556,65913919,0,1057594,1096317,56635,499123552305,0.138070265168456
0,67060970,67378956,3231166,66203419,0,1061599,1101623,57325,499114952305,0.138769955511751
0,67056170,67371956,3229876,66342619,0,1066705,1109426,57715,499103652305,0.139568894274198
0,67039371,67360256,3238196,66382319,0,1074008,1121332,58695,499090352305,0.140305442896153
0,67023673,67324457,3274796,66621419,0,1080010,1126436,59495,499083352305,0.141186018633893
0,67017974,67318257,3273496,67110519,0,1086415,1133442,59995,499071452305,0.142049474745304
0,67012875,67294958,3292006,67699519,0,1091719,1136549,60885,499056852305,0.142854552207858
0,66987875,67309158,3290716,68078619,0,1096530,1142353,61375,499046152305,0.143571840618654
0,66977676,67261058,3330516,68377819,0,1107135,1150158,61975,499029752305,0.144377437806392
0,66934076,67285558,3340116,68847119,0,1111145,1155366,62775,499020952305,0.14507007786016
0,66918576,67267258,3359826,69026219,0,1116850,1163373,63465,499007452305,0.145817615256729
0,66897976,67252958,3378646,69315819,0,1128155,1168279,63945,498991952305,0.14659001237897
0,66853876,67277558,3385456,69494819,0,1132262,1173583,64335,498981452305,0.14748500106119
0,66852276,67250758,3404066,69764019,0,1134064,1180491,65325,498965852305,0.148380122524982
0,66825876,67266659,3400276,70333119,0,1140669,1184095,66715,498955952305,0.149197956210473
0,66808577,67234560,3439076,70611919,0,1147474,1185706,67315,498942352305,0.149961381158261
0,66783277,67219760,3467986,70771019,0,1152678,1191012,67805,498925852305,0.150787375246671
0,66765178,67204561,3483816,70870019,0,1160787,1195922,68375,498915252305,0.151641630258361
0,66727178,67207161,3502426,71029319,0,1168795,1203026,69365,498908852305,0.152370307733282
0,66697680,67196062,3531936,71298019,0,1179003,1203431,70355,498902152305,0.153166282355916
0,66680880,67185163,3539636,71457219,0,1186113,1214332,71055,498891352305,0.153876631974337
0,66665780,67190363,3538146,71746119,0,1191520,1219235,72045,498872852305,0.154620128036338
0,66650581,67150764,3576946,72115019,0,1196925,1229141,72845,498867252305,0.155252472711094
0,66633681,67138666,3596556,72684019,0,1204133,1231143,73635,498853252305,0.156084058648808
0,66604981,67127168,3615356,72834019,0,1212039,1243550,74135,498837852305,0.156866638929278
0,66603983,67097369,3634356,72911019,0,1213446,1253760,74335,498826452305,0.157743595411655
0,66574683,67100369,3640866,73180019,0,1222957,1260864,75325,498812752305,0.15844739639768
0,66520684,67097270,3688466,73460019,0,1227462,1263974,76025,498799652305,0.159310279665462
0,66514384,67052272,3727086,74058019,0,1233469,1269180,76805,498785552305,0.160025844317337
0,66499284,67026572,3752416,74157019,0,1239273,1274490,77675,498775552305,0.1608908853906
0,66481486,67003472,3779846,74636019,0,1247579,1277400,78645,498760852305,0.161872866307224
0,66455588,66989572,3806466,75206019,0,1253885,1281705,79325,498748852305,0.16279780877208
0,66429689,66981672,3821866,75386019,0,1259593,1289511,80225,498732452305,0.163540800332922
0,66401789,66982573,3831276,75455019,0,1267699,1298518,81115,498716852305,0.164293539262806
0,66397789,66949974,3860976,75833019,0,1271607,1302123,81715,498704552305,0.165058510120228
0,66365289,66962874,3859686,76222019,0,1284216,1308729,82405,498697352305,0.165886612584853
0,66352489,66930276,3898226,76279019,0,1287828,1310733,83165,498687852305,0.166656791575901
0,66337890,66925677,3908036,76808019,0,1292636,1315536,83855,498674652305,0.167387746665147
0,66323990,66909277,3926436,77257019,0,1296341,1322145,84755,498657552305,0.168245716174163
0,66309091,66904277,3934046,77627019,0,1301148,1327460,85245,498645852305,0.169025747403607
0,66303591,66882978,3953946,78195019,0,1306057,1328868,85645,498631652305,0.169785201553052
0,66280791,66873980,3971676,78564019,0,1309068,1338572,86015,498623552305,0.17056369781602
0,66255392,66869082,3989586,78952019,0,1313973,1343881,86505,498612252305,0.171300396213942
0,66251592,66839882,4008286,79312019,0,1318177,1352789,87205,498603052305,0.172073621170496
0,66224292,66835282,4025506,80072019,0,1325283,1357596,88285,498591952305,0.173029212713335
0,66190292,66845682,4034306,80222019,0,1329591,1366602,88985,498574452305,0.173652211317891
0,66180792,66798183,4073326,80701019,0,1339096,1374408,89265,498555352305,0.174505852446435
0,66165392,66790083,4080946,81290019,0,1344005,1382913,90145,498549452305,0.17515724913012
0,66131592,66773783,4120656,81370019,0,1347911,1389719,90835,498534852305,0.175954936485065
